chromosome,fitness
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,42
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,67
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,102
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,199
10111101110100111001010001011101101111100011110001001110110111000101100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,51
10111101110100111001010001011101101111100011110001001110110111000101100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,183
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,35
10111101110100111001010001011101101111100011110001001110110111000101100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,109
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,202
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,320
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,209
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,193
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,11
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010001000110010000110,238
10111101110100111001010001011101101111100011110001001110110111000101100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110010010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,101
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,219
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,196
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,16
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,182
10111101110100111001010001011101101111100011110001001110110111000101100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,178
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,16
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,348
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,16
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,51
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,241
10111101110100111001010001011101101111100011110001001110110111000101100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,238
10111101110100111001010001011101101111100011110001001110110111000101100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,66
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,103
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,91
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,67
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,102
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,16
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000100010000110,111
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,14
10111101110100111001010001011101101111100011110001001110110111000111100010100111110010011101010001100000011111011101001011010110010101010011011111100111000000111110011000100101000101101000000000011110011001100110110010010101101010100101001011010101001001000000001110100000110010011001110111010101000110010000110,50

